0.10, 0.418
0.15, 0.433
0.20, 0.447
0.30, 0.471
0.40, 0.496
0.50, 0.526
0.60, 0.560
0.70, 0.596
0.80, 0.638
0.90, 0.676
1.00, 0.712
1.10, 0.745
1.15, 0.758
1.20, 0.772
1.30, 0.798
1.40, 0.819
1.50, 0.839
1.70, 0.871
2.00, 0.908
2.40, 0.929
2.80, 0.933
3.20, 0.937
3.60, 0.939
4.00, 0.940
5.00, 0.944
6.00, 0.947
7.50, 0.949
8.20, 0.827
